arm,game_id,model,run_id,turn,cost_usd,cum_cost_usd,frac_of_run,frac_of_spend,failed_step,outcome,e2_frontload_index,e2_status,e3_convergence_point,e3_status,e4_context_growth,e4_status,battery_turns,turn_axis_agrees
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,23,0.040528,0.765073,0.958333,0.961166,true,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,24,0.030912,0.795984,1.000000,1.000000,true,,0.222989407,ok,0.916666667,ok,0.173485470,ok,24,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,1,0.028353,0.028353,0.047619,0.038871,true,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,2,0.028753,0.057105,0.095238,0.078291,false,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,3,0.028426,0.085531,0.142857,0.117262,false,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,4,0.030430,0.115961,0.190476,0.158982,false,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,5,0.035016,0.150978,0.238095,0.206990,false,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,6,0.029089,0.180067,0.285714,0.246872,true,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,7,0.029188,0.209256,0.333333,0.286889,false,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,8,0.052980,0.262236,0.380952,0.359525,true,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
bare_cc,ar25-0c556536,claude-haiku-4-5-20251001,bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,9,0.029457,0.291693,0.428571,0.399910,false,,0.216960312,ok,0.952380952,ok,0.144662040,ok,21,true
